Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
[155/3763] splinterdb/betree__LinkedBranch_v.45.smt2 -> UNSAT
[156/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.12.smt2 -> UNSAT
[157/3763] splinterdb/allocation_layer__LikesJournal_v.11.smt2 -> UNSAT
[158/3763] splinterdb/allocation_layer__LikesJournal_v.8.smt2 -> UNKNOWN
[159/3763] splinterdb/allocation_layer__AllocationJournalRefinement_v.3.smt2 -> UNKNOWN
[160/3763] splinterdb/abstract_system__MsgHistory_v.24.smt2 -> UNSAT
[161/3763] splinterdb/betree__PivotBetree_v.4.smt2 -> UNKNOWN
[162/3763] splinterdb/journal__LinkedJournalRefinement_v.30.smt2 -> UNKNOWN
[163/3763] splinterdb/betree__PivotBranch_v.19.smt2 -> UNSAT
[164/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.7.smt2 -> UNSAT
[165/3763] splinterdb/journal__PagedJournal_v.26.smt2 -> UNSAT
[166/3763] splinterdb/betree__LinkedBranch_v.12.smt2 -> UNSAT
[167/3763] splinterdb/betree__PivotBranch_v.7.smt2 -> UNSAT
[168/3763] splinterdb/allocation_layer__AllocationJournal_v.17.smt2 -> UNSAT
[169/3763] splinterdb/betree__FilteredBetree_v.12.smt2 -> UNSAT
[170/3763] splinterdb/betree__PivotBetree_v.42.smt2 -> UNSAT
[171/3763] splinterdb/journal__PagedJournal_v.30.smt2 -> UNKNOWN
[172/3763] splinterdb/betree__LinkedBetree_v.49.smt2 -> UNSAT
[173/3763] splinterdb/betree__BufferSeq_v.4.smt2 -> UNSAT
[174/3763] splinterdb/betree__Memtable_v.10.smt2 -> UNKNOWN
[175/3763] splinterdb/marshalling__IntegerMarshalling_v.39.smt2 -> UNKNOWN
[176/3763] splinterdb/betree__PagedBetree_v.28.smt2 -> UNKNOWN
[177/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.19.smt2 -> OTHER
[178/3763] splinterdb/marshalling__IntegerMarshalling_v.3.smt2 -> UNSAT
[179/3763] splinterdb/journal__LinkedJournalRefinement_v.26.smt2 -> TIMEOUT
[180/3763] splinterdb/betree__PagedBetreeRefinement_v.21.smt2 -> TIMEOUT
[181/3763] splinterdb/exec__MiniAllocator_v.11.smt2 -> UNKNOWN
[182/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.8.smt2 -> UNSAT
[183/3763] splinterdb/spec__AppIO_t.3.smt2 -> UNKNOWN
