Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[93/3763] atmosphere/process_manager__thread.2.smt2 -> UNSAT [8.77s]
[94/3763] verussystems/mimalloc-smt-types__BoolAgree.1.smt2 -> UNSAT [3.36s]
[95/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.45.smt2 -> UNSAT [8.85s]
[96/3763] verussystems/noderep-smt-spec__simple_log__SimpleLog.2.smt2 -> UNKNOWN [8.87s]
[97/3763] verussystems/noderep-smt-root.2.smt2 -> OTHER [3.37s]
[98/3763] verussystems/mimalloc-smt-config.4.smt2 -> UNKNOWN [3.33s]
[99/3763] atmosphere/array.4.smt2 -> UNKNOWN [9.09s]
[100/3763] verussystems/ironkv-smt-delegation_map_v.9.smt2 -> UNSAT [5.81s]
[101/3763] verussystems/mimalloc-smt-config.6.smt2 -> UNKNOWN [3.15s]
[102/3763] verussystems/mimalloc-smt-flags.13.smt2 -> UNKNOWN [3.11s]
[103/3763] verussystems/noderep-smt-spec__linearization.7.smt2 -> OTHER [3.12s]
[104/3763] atmosphere/process_manager__endpoint_util_t.smt2 -> UNKNOWN [9.30s]
[105/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.10.smt2 -> UNSAT [3.05s]
[106/3763] verussystems/ironkv-smt-delegation_map_v.38.smt2 -> UNSAT [4.76s]
[107/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.6.smt2 -> UNKNOWN [3.30s]
[108/3763] verussystems/ironkv-smt-delegation_map_v.4.smt2 -> UNSAT [3.43s]
[109/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.23.smt2 -> UNKNOWN [3.18s]
[110/3763] verussystems/noderep-smt-spec__unbounded_log.12.smt2 -> UNKNOWN [3.97s]
[111/3763] verussystems/noderep-smt-spec__unbounded_log.3.smt2 -> UNKNOWN [2.99s]
[112/3763] atmosphere/slinkedlist__spec_impl_u.3.smt2 -> UNSAT [9.52s]
[113/3763] verussystems/ironkv-smt-args_t.1.smt2 -> UNKNOWN [2.98s]
[114/3763] atmosphere/array_set.1.smt2 -> UNKNOWN [9.56s]
[115/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__inv_v.2.smt2 -> UNSAT [3.52s]
[116/3763] verussystems/noderep-smt-spec__linearization.14.smt2 -> OTHER [2.81s]
[117/3763] verussystems/ironkv-smt-marshal_v.27.smt2 -> UNKNOWN [2.91s]
[118/3763] verussystems/ironkv-smt-keys_t.8.smt2 -> UNSAT [2.72s]
[119/3763] verussystems/noderep-smt-exec__utils.4.smt2 -> UNKNOWN [6.95s]
[120/3763] verussystems/noderep-smt-spec__linearization.12.smt2 -> OTHER [2.76s]
[121/3763] verussystems/ironkv-smt-marshal_v.16.smt2 -> UNKNOWN [2.93s]
[122/3763] verussystems/ironkv-smt-single_delivery_t.9.smt2 -> UNSAT [2.73s]
[123/3763] atmosphere/array.3.smt2 -> UNKNOWN [9.87s]
[124/3763] atmosphere/array_set.4.smt2 -> UNKNOWN [9.88s]
