Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[130/3763] verussystems/ironkv-smt-keys_t.5.smt2 -> UNSAT [2.51s]
[131/3763] atmosphere/array.3.smt2 -> UNKNOWN [10.04s]
[132/3763] verussystems/ironkv-smt-marshal_v.54.smt2 -> UNKNOWN [2.91s]
[133/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.9.smt2 -> UNSAT [4.11s]
[134/3763] atmosphere/array.5.smt2 -> UNKNOWN [10.09s]
[135/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.16.smt2 -> UNSAT [3.32s]
[136/3763] atmosphere/pagetable__pagemap.2.smt2 -> UNKNOWN [10.27s]
[137/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.6.smt2 -> UNSAT [2.59s]
[138/3763] verussystems/mimalloc-smt-flags.10.smt2 -> UNKNOWN [2.56s]
[139/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.1.smt2 -> UNKNOWN [2.75s]
[140/3763] verussystems/ironkv-smt-marshal_v.2.smt2 -> UNSAT [2.53s]
[141/3763] verussystems/mimalloc-smt-pigeonhole.6.smt2 -> UNKNOWN [2.85s]
[142/3763] verussystems/noderep-smt-exec__rwlock.9.smt2 -> UNSAT [2.56s]
[143/3763] verussystems/noderep-smt-constants.1.smt2 -> UNSAT [2.44s]
[144/3763] verussystems/ironkv-smt-delegation_map_v.7.smt2 -> UNSAT [2.82s]
[145/3763] verussystems/noderep-smt-spec__unbounded_log.4.smt2 -> UNKNOWN [3.35s]
[146/3763] verussystems/mimalloc-smt-config.3.smt2 -> UNKNOWN [2.50s]
[147/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.3.smt2 -> UNKNOWN [4.27s]
[148/3763] verussystems/ironkv-smt-delegation_map_v.5.smt2 -> UNSAT [2.84s]
[149/3763] verussystems/ironkv-smt-host_protocol_t.22.smt2 -> UNSAT [2.75s]
[150/3763] atmosphere/process_manager__container_tree_spec_impl.10.smt2 -> UNKNOWN [10.84s]
[151/3763] verussystems/ironkv-smt-cmessage_v.13.smt2 -> UNSAT [2.70s]
[152/3763] verussystems/ironkv-smt-single_delivery_t.5.smt2 -> UNKNOWN [2.54s]
[153/3763] verussystems/mimalloc-smt-flags.7.smt2 -> UNKNOWN [2.43s]
[154/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.18.smt2 -> UNSAT [2.48s]
[155/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.5.smt2 -> UNSAT [2.32s]
[156/3763] verussystems/ironkv-smt-single_delivery_t.4.smt2 -> UNSAT [2.29s]
[157/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.2.smt2 -> UNSAT [2.25s]
[158/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.16.smt2 -> UNSAT [2.70s]
[159/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.4.smt2 -> UNKNOWN [3.62s]
[160/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.3.smt2 -> UNSAT [2.21s]
[161/3763] atmosphere/array_set.3.smt2 -> UNKNOWN [11.27s]
[162/3763] verussystems/ironkv-smt-single_delivery_t.15.smt2 -> UNKNOWN [2.30s]
