Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
[173/3763] splinterdb/betree__BufferSeq_v.4.smt2 -> UNSAT [2.26s]
[174/3763] splinterdb/marshalling__IntegerMarshalling_v.39.smt2 -> UNSAT [2.58s]
[175/3763] splinterdb/betree__PagedBetree_v.28.smt2 -> UNKNOWN [3.00s]
[176/3763] splinterdb/marshalling__IntegerMarshalling_v.3.smt2 -> UNSAT [2.32s]
[177/3763] splinterdb/journal__LinkedJournalRefinement_v.30.smt2 -> TIMEOUT [60.09s]
[178/3763] splinterdb/exec__MiniAllocator_v.11.smt2 -> UNKNOWN [20.76s]
[179/3763] splinterdb/spec__AppIO_t.3.smt2 -> UNKNOWN [2.92s]
[180/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.19.smt2 -> TIMEOUT [60.08s]
[181/3763] splinterdb/journal__LinkedJournalRefinement_v.26.smt2 -> TIMEOUT [60.04s]
[182/3763] splinterdb/betree__PagedBetreeRefinement_v.21.smt2 -> TIMEOUT [60.06s]
[183/3763] splinterdb/allocation_layer__MiniAllocator_v.5.smt2 -> UNSAT [1.88s]
[184/3763] splinterdb/betree__PivotBetree_v.15.smt2 -> UNKNOWN [5.31s]
[185/3763] splinterdb/betree__LinkedBranch_v.9.smt2 -> UNSAT [2.23s]
[186/3763] splinterdb/betree__PivotBetreeRefinement_v.26.smt2 -> UNKNOWN [20.50s]
[187/3763] splinterdb/journal__LinkedJournal_v.5.smt2 -> UNSAT [2.36s]
[188/3763] splinterdb/marshalling__IntegerMarshalling_v.42.smt2 -> UNKNOWN [2.49s]
[189/3763] splinterdb/journal__LinkedJournal_v.36.smt2 -> UNSAT [1.99s]
[190/3763] splinterdb/journal__PagedJournal_v.30.smt2 -> TIMEOUT [60.06s]
[191/3763] splinterdb/betree__PivotBranch_v.23.smt2 -> UNSAT [1.56s]
[192/3763] splinterdb/betree__LinkedBranch_v.28.smt2 -> UNSAT [1.91s]
[193/3763] splinterdb/allocation_layer__AllocationJournal_v.9.smt2 -> TIMEOUT [60.06s]
[194/3763] splinterdb/betree__LinkedBetree_v.65.smt2 -> UNSAT [4.53s]
[195/3763] splinterdb/marshalling__IntegerMarshalling_v.15.smt2 -> UNSAT [2.56s]
[196/3763] splinterdb/betree__LinkedBetree_v.32.smt2 -> UNSAT [2.85s]
[197/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.4.smt2 -> UNSAT [3.22s]
[198/3763] splinterdb/betree__PivotBranchRefinement_v.21.smt2 -> UNKNOWN [11.30s]
[199/3763] splinterdb/betree__PivotBetree_v.39.smt2 -> UNKNOWN [13.59s]
[200/3763] splinterdb/journal__PagedJournalRefinement_v.20.smt2 -> TIMEOUT [60.08s]
[201/3763] splinterdb/betree__PagedBetree_v.12.smt2 -> UNKNOWN [4.21s]
[202/3763] splinterdb/allocation_layer__AllocationJournal_v.40.smt2 -> TIMEOUT [60.07s]
[203/3763] splinterdb/betree__LinkedBranch_v.53.smt2 -> TIMEOUT [60.06s]
[204/3763] splinterdb/betree__PivotBranchRefinement_v.2.smt2 -> UNSAT [2.18s]
[205/3763] splinterdb/allocation_layer__LikesJournal_v__LikesJournal.1.smt2 -> UNSAT [2.16s]
[206/3763] splinterdb/betree__Buffer_v.9.smt2 -> UNSAT [2.30s]
[207/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.35.smt2 -> TIMEOUT [60.09s]
[208/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.4.smt2 -> TIMEOUT [60.08s]
[209/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.14.smt2 -> UNSAT [2.28s]
[210/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.28.smt2 -> TIMEOUT [60.05s]
[211/3763] splinterdb/allocation_layer__MiniAllocator_v.11.smt2 -> UNSAT [3.23s]
[212/3763] splinterdb/betree__LinkedBetree_v.24.smt2 -> UNSAT [4.86s]
[213/3763] splinterdb/journal__LinkedJournal_v.20.smt2 -> UNSAT [2.40s]
[214/3763] splinterdb/marshalling__IntegerMarshalling_v.54.smt2 -> UNKNOWN [2.90s]
[215/3763] splinterdb/betree__LinkedBetree_v.73.smt2 -> UNSAT [4.81s]
[216/3763] splinterdb/betree__FilteredBetree_v.28.smt2 -> UNSAT [2.47s]
[217/3763] splinterdb/betree__PivotBetreeRefinement_v.9.smt2 -> UNSAT [6.95s]
[218/3763] splinterdb/betree__FilteredBetreeRefinement_v.32.smt2 -> TIMEOUT [60.08s]
[219/3763] splinterdb/betree__LinkedBetree_v.72.smt2 -> UNSAT [2.90s]
[220/3763] splinterdb/betree__FilteredBetree_v.29.smt2 -> UNKNOWN [3.52s]
[221/3763] splinterdb/journal__LinkedJournal_v.21.smt2 -> UNKNOWN [4.30s]
[222/3763] splinterdb/marshalling__IntegerMarshalling_v.55.smt2 -> UNSAT [2.00s]
[223/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournalRefinement_v.7.smt2 -> TIMEOUT [60.06s]
[224/3763] splinterdb/marshalling__Slice_v.1.smt2 -> UNKNOWN [1.95s]
